interview__id,responsible,unit_risk_score
c876c00f7cee49df9f288223d8d6c848,TZ_JuliethM2,27.95
b5aaebd01df54c8fae9ed44e3c33d368,TZ_JuliethM2,28.64
a17f5f1466eb423494fffdfe17e2be6b,TZ_MaryO2,29.29
bd1abc76dbd74d2f8ed9065dd83a2c4c,TZ_UpendoG2,29.65
797a4cb84cd64141a7eae3b9a98d10d8,TZ_HappyM2,30.2
e961f92f005d45baaa1795f843653554,TZ_PeterN2,30.25
8b13d1706c0e4658a3cb5174dc2fc509,TZ_MaryO2,30.3
33feab7e1a4b47b384b3564c78059988,TZ_MaryO2,31.04
c64cd7761ddb4265a6d636965c20e64d,TZ_HappyM2,31.41
795ef6bfbec0413bbf769ebf9782c270,TZ_MaryO2,32.04
f63ff786c9e7487eb3843bf0b5db4b26,TZ_HappyM2,32.21
fc1c162b391240b7bd717f8725b1c227,TZ_JuliethM2,32.48
41dad6d3b992440e973268aded649400,TZ_MaryO2,32.55
1347ba2e6d554e1291d126f837974807,TZ_LabanB2,33.55
48aaab1ee921489eb13e3ba46437648d,TZ_MboyaM2,33.71
948d66b407b24af98c2c4d1b89ed444d,TZ_HappyM2,34.02
4161670829d24d698085d92abbe89558,TZ_UpendoG2,34.87
946e146423db4e259bb79249aca2edaa,TZ_MboyaM2,35.7
5c558af194f54cb8abfa3060bfeb1896,TZ_MaryO2,36.01
795906b33dd94447a4ec17337ce80302,TZ_MboyaM2,36.02
a813a2abbd084a129dcb6ca85945a102,TZ_UpendoG2,36.89
c22fd6b1105e43e48d93a6602ba1f64b,TZ_JenivaM2,37.77
bfdb057e392f4480a07385ddee12ab16,TZ_JuliethM2,39.22
461b60a2131d4d58b9fe71798736939e,TZ_UpendoG2,40.11
aa8cf947617d4c7da98342ad0b96c3fe,TZ_PeterN2,40.92
dcdfc20545f140c6893c5e25422c0e8c,TZ_HappyM2,42.42
2b1299eace764cddaf5ef88a8247f9b5,TZ_UpendoG2,42.71
3f6b2408b234449db70c279ee2abf612,TZ_UpendoG2,44.13
b6d8443f84e94f36a2b2a76d3c31c7b6,TZ_JuliethM2,45.56
9074db16bbc644aca1dfd2215912cbd1,TZ_JenivaM2,46.51
a73d5e4ba4444fa0a8a51dabe65a01d7,TZ_JenivaM2,46.63
3f4a451cd30b4fe8821ff09971bcc8e7,TZ_LabanB2,47.41
65c85e2ddb5e4cd0a67edbff193a3988,TZ_MboyaM2,48.47
f757f5edbf544394b72c5064b561ea0e,TZ_UpendoG2,48.62
ade889e1d65d43298c0c4293daf5d472,TZ_MaryO2,48.66
cab828b8ec144c98b2f45a9cfe633bcc,TZ_JenivaM2,49.72
4df195b2c0274551acd71af06a50dda2,TZ_PeterN2,49.92
1d1f21da7432413fa6a52d0c03b95db5,TZ_JenivaM2,50.03
ef150a34f1c7484091053df0e208469a,TZ_HappyM2,50.7
717d3ad211034c208513bad638cd471b,TZ_MboyaM2,52.28
18972c8db46c43c4b3c75ee959c93a4b,TZ_JenivaM2,53.03
d8c5b8624d354a27a5fae1e7bc3c1137,TZ_JuliethM2,54.81
fd3a4a9dd1d443f29e58960b0bc5a993,TZ_HappyM2,54.9
7e43dcf28aab41c1b036cc56a8420342,TZ_PeterN2,56.5
cfe13d66d9e043e68667b14710af270c,TZ_UpendoG2,57.5
e0be55b1a5f24d0185a6292419ae7598,TZ_LabanB2,57.84
a3a64311f09e407db55c82d856f4c56b,TZ_JuliethM2,58.41
e5c51b6a92ac48809fcbbda561fb4d22,TZ_JenivaM2,58.66
030598e7dee241de9b47fb18b613f178,TZ_HappyM2,58.73
af6e3a5b5cf84d4587465eb8865ea2e9,TZ_JuliethM2,59.03
